iter	Passed	Remaining
162	3609	18533
163	3629	18503
164	3650	18474
165	3670	18441
166	3687	18395
167	3710	18373
168	3732	18354
169	3752	18320
170	3775	18304
171	3797	18281
172	3819	18259
173	3840	18231
174	3864	18219
175	3884	18185
176	3904	18157
177	3926	18131
178	3947	18105
179	3967	18074
180	3988	18047
181	4011	18031
182	4032	18003
183	4054	17979
184	4074	17947
185	4095	17922
186	4115	17891
187	4135	17862
188	4159	17847
189	4179	17819
190	4200	17790
191	4222	17770
192	4242	17738
193	4263	17711
194	4282	17679
195	4304	17655
196	4326	17636
197	4347	17608
198	4370	17589
199	4390	17563
200	4412	17540
201	4432	17512
202	4454	17490
203	4474	17457
204	4495	17431
205	4515	17404
206	4537	17382
207	4557	17354
208	4578	17327
209	4599	17304
210	4623	17290
211	4643	17259
212	4664	17232
213	4686	17212
214	4707	17187
215	4727	17159
216	4748	17132
217	4770	17111
218	4791	17085
219	4810	17054
220	4831	17032
221	4852	17006
222	4872	16978
223	4892	16950
224	4918	16940
225	4938	16913
226	4958	16885
227	4978	16858
228	5001	16837
229	5021	16809
230	5040	16779
231	5064	16765
232	5084	16737
233	5105	16711
234	5126	16686
235	5146	16661
236	5167	16635
237	5187	16610
238	5211	16593
239	5231	16567
240	5257	16556
241	5284	16550
242	5305	16527
243	5325	16499
244	5346	16475
245	5366	16448
246	5389	16428
247	5414	16418
248	5434	16391
249	5455	16366
250	5475	16340
251	5496	16316
252	5517	16291
253	5537	16262
254	5563	16255
255	5584	16231
256	5605	16206
257	5627	16183
258	5647	16157
259	5668	16132
260	5688	16106
261	5713	16095
262	5736	16074
263	5757	16049
264	5779	16028
265	5799	16002
266	5819	15976
267	5841	15955
268	5862	15931
269	5882	15904
270	5902	15878
271	5924	15855
272	5945	15832
273	5964	15804
274	5985	15778
275	6007	15757
276	6027	15731
277	6052	15719
278	6073	15694
279	6094	15672
280	6116	15651
281	6138	15628
282	6157	15601
283	6178	15576
284	6201	15557
285	6223	15536
286	6244	15513
287	6263	15483
288	6283	15459
289	6305	15436
290	6325	15412
291	6349	15394
292	6369	15369
293	6389	15344
294	6410	15320
295	6430	15294
296	6452	15272
297	6473	15250
298	6499	15238
299	6520	15214
300	6541	15190
301	6561	15165
302	6583	15143
303	6603	15119
304	6624	15094
305	6647	15077
306	6668	15053
307	6689	15029
308	6710	15005
309	6730	14981
310	6750	14954
311	6771	14932
312	6794	14913
313	6816	14892
314	6838	14870
315	6858	14845
316	6879	14822
317	6902	14804
318	6923	14780
319	6947	14764
320	6968	14740
321	6989	14717
322	7009	14692
323	7031	14671
324	7052	14646
325	7072	14622
326	7098	14608
327	7118	14583
328	7138	14559
329	7158	14533
330	7180	14512
331	7201	14488
332	7224	14471
333	7248	14452
334	7268	14428
335	7287	14400
336	7308	14378
337	7330	14357
338	7351	14335
339	7372	14311
340	7396	14293
341	7416	14269
342	7438	14248
343	7460	14226
344	7481	14204
345	7502	14180
346	7524	14160
347	7546	14137
348	7568	14116
349	7589	14094
350	7609	14070
351	7630	14047
352	7650	14022
353	7670	13997
354	7694	13980
355	7715	13957
356	7737	13936
357	7759	13914
358	7780	13892
359	7800	13868
360	7823	13847
361	7844	13824
362	7864	13800
363	7885	13778
364	7906	13754
365	7926	13731
366	7946	13706
367	7966	13680
368	7989	13662
369	8009	13638
370	8030	13615
371	8050	13590
372	8070	13566
373	8091	13543
374	8109	13516
375	8133	13498
376	8153	13474
377	8174	13451
378	8195	13429
379	8216	13406
380	8235	13379
381	8256	13357
382	8280	13339
383	8301	13316
384	8321	13293
385	8342	13269
386	8362	13246
387	8384	13225
388	8404	13201
389	8429	13184
390	8451	13163
391	8471	13140
392	8491	13115
393	8512	13092
394	8532	13069
395	8555	13048
396	8578	13029
397	8602	13011
398	8622	12988
399	8643	12964
400	8664	12943
401	8684	12919
402	8705	12896
403	8728	12877
404	8750	12855
405	8773	12835
406	8794	12814
407	8815	12791
408	8835	12766
409	8855	12743
410	8880	12726
411	8901	12704
412	8923	12682
413	8944	12661
414	8966	12639
415	8986	12616
416	9007	12592
417	9030	12573
418	9052	12552
419	9072	12528
420	9094	12508
421	9115	12484
422	9135	12461
423	9156	12439
424	9180	12420
425	9200	12397
426	9221	12375
427	9243	12352
428	9263	12329
429	9284	12306
430	9304	12283
431	9328	12264
432	9351	12245
433	9374	12225
434	9396	12204
435	9416	12181
436	9437	12158
437	9461	12140
438	9481	12116
439	9503	12095
440	9524	12072
441	9545	12050
442	9566	12028
443	9587	12005
444	9608	11983
445	9628	11959
446	9648	11935
447	9674	11919
448	9694	11896
449	9715	11874
450	9735	11851
451	9756	11828
452	9781	11811
453	9804	11791
454	9824	11768
455	9845	11745
456	9865	11722
457	9887	11700
458	9908	11678
459	9928	11655
460	9950	11634
461	9974	11614
462	9995	11593
463	10019	11573
464	10040	11551
465	10060	11528
466	10081	11506
467	10106	11488
468	10127	11466
469	10148	11443
470	10169	11422
471	10190	11399
472	10210	11376
473	10230	11352
474	10253	11333
475	10275	11311
476	10296	11289
477	10318	11267
478	10340	11246
479	10360	11224
480	10382	11203
481	10406	11183
482	10426	11160
483	10448	11139
484	10474	11122
485	10494	11099
486	10515	11076
487	10536	11054
488	10556	11031
489	10576	11008
490	10599	10988
491	10621	10966
492	10641	10943
493	10661	10920
494	10681	10896
495	10702	10874
496	10722	10851
497	10742	10828
498	10768	10812
499	10789	10789
500	10809	10766
501	10831	10745
502	10852	10722
503	10872	10699
504	10892	10676
505	10916	10658
506	10937	10635
507	10957	10612
508	10979	10590
509	11000	10568
510	11020	10546
511	11040	10522
512	11065	10505
513	11085	10482
514	11106	10459
515	11126	10436
516	11148	10415
517	11169	10392
518	11188	10369
519	11212	10350
520	11232	10327
521	11253	10304
522	11275	10283
523	11295	10260
524	11316	10238
525	11336	10215
526	11361	10197
527	11382	10175
528	11403	10153
529	11424	10131
530	11448	10111
531	11468	10089
532	11489	10066
533	11512	10046
534	11532	10023
535	11553	10001
536	11574	9979
537	11595	9957
538	11616	9935
539	11637	9913
540	11661	9893
541	11681	9871
542	11702	9848
543	11722	9826
544	11747	9807
545	11767	9784
546	11789	9763
547	11810	9741
548	11830	9718
549	11850	9696
550	11871	9673
551	11894	9653
552	11914	9631
553	11934	9607
554	11955	9585
555	11976	9563
556	11995	9540
557	12015	9517
558	12038	9497
559	12057	9473
560	12078	9451
561	12099	9429
562	12119	9407
563	12140	9385
564	12161	9363
565	12180	9340
566	12204	9320
567	12224	9297
568	12243	9274
569	12263	9251
570	12285	9230
571	12306	9208
572	12326	9185
573	12351	9166
574	12371	9144
575	12390	9121
576	12410	9098
577	12431	9076
578	12452	9054
579	12472	9032
580	12496	9012
581	12516	8989
582	12537	8967
583	12559	8946
584	12579	8923
585	12601	8902
586	12618	8878
587	12644	8859
588	12668	8839
589	12690	8818
590	12710	8796
591	12732	8775
592	12752	8752
593	12772	8729
594	12796	8710
595	12815	8687
596	12836	8665
597	12857	8643
598	12878	8621
599	12898	8598
600	12918	8576
601	12939	8554
602	12960	8532
603	12984	8512
604	13005	8491
605	13026	8469
606	13047	8447
607	13067	8425
608	13088	8403
609	13109	8381
610	13168	8383
611	13235	8391
612	13270	8377
613	13290	8355
614	13313	8334
615	13334	8312
616	13355	8290
617	13378	8269
618	13398	8246
619	13417	8223
620	13438	8201
621	13459	8179
622	13481	8157
623	13501	8135
624	13525	8115
625	13546	8093
626	13565	8070
627	13585	8047
628	13606	8025
629	13626	8002
630	13647	7980
631	13670	7960
632	13691	7937
633	13710	7914
634	13731	7892
635	13750	7869
636	13771	7847
637	13792	7825
638	13815	7804
639	13835	7782
640	13857	7760
641	13877	7738
642	13897	7715
643	13916	7693
644	13938	7671
645	13962	7651
646	13982	7628
647	14003	7606
648	14023	7584
649	14043	7561
650	14064	7539
651	14084	7517
652	14106	7496
653	14127	7473
654	14148	7452
655	14171	7431
656	14191	7409
657	14211	7386
658	14232	7364
659	14254	7343
660	14275	7321
661	14295	7298
662	14315	7276
663	14335	7254
664	14355	7231
665	14376	7209
666	14398	7188
667	14422	7168
668	14442	7145
669	14462	7123
670	14483	7101
671	14506	7080
672	14526	7058
673	14546	7035
674	14567	7014
675	14588	6992
676	14608	6969
677	14628	6947
678	14648	6925
679	14669	6903
680	14688	6880
681	14711	6859
682	14730	6837
683	14750	6814
684	14770	6792
685	14789	6769
686	14809	6747
687	14830	6725
688	14854	6704
689	14873	6682
690	14894	6660
691	14915	6638
692	14935	6616
693	14955	6594
694	14977	6572
695	14999	6551
696	15020	6529
697	15041	6507
698	15062	6486
699	15082	6463
700	15101	6441
701	15122	6419
702	15144	6398
703	15166	6376
704	15187	6355
705	15208	6333
706	15228	6311
707	15248	6289
708	15268	6266
709	15288	6244
710	15314	6224
711	15335	6203
712	15355	6181
713	15376	6159
714	15396	6137
715	15417	6115
716	15438	6093
717	15460	6072
718	15480	6050
719	15500	6027
720	15521	6006
721	15542	5984
722	15563	5962
723	15583	5940
724	15609	5920
725	15630	5899
726	15650	5877
727	15672	5855
728	15692	5833
729	15715	5812
730	15736	5790
731	15760	5770
732	15784	5749
733	15804	5727
734	15824	5705
735	15845	5683
736	15865	5661
737	15890	5641
738	15910	5619
739	15931	5597
740	15952	5575
741	15974	5554
742	15995	5532
743	16016	5510
744	16041	5490
745	16061	5468
746	16082	5446
747	16103	5425
748	16123	5403
749	16145	5381
750	16167	5360
751	16189	5339
752	16210	5317
753	16231	5295
754	16252	5273
755	16273	5252
756	16293	5230
757	16315	5208
758	16339	5188
759	16359	5166
760	16382	5145
761	16403	5123
762	16424	5101
763	16445	5080
764	16465	5058
765	16489	5037
766	16509	5015
767	16531	4993
768	16551	4971
769	16572	4950
770	16592	4928
771	16614	4906
772	16640	4886
773	16667	4866
774	16687	4844
775	16713	4824
776	16734	4802
777	16755	4781
778	16778	4759
779	16800	4738
780	16820	4716
781	16841	4694
782	16861	4673
783	16880	4650
784	16902	4629
785	16922	4607
786	16946	4586
787	16966	4564
788	16986	4542
789	17007	4520
790	17028	4499
791	17053	4478
792	17076	4457
793	17095	4435
794	17116	4413
795	17137	4391
796	17158	4370
797	17178	4348
798	17202	4327
799	17222	4305
800	17243	4283
801	17264	4262
802	17285	4240
803	17305	4218
804	17326	4197
805	17346	4175
806	17366	4153
807	17387	4131
808	17409	4110
809	17429	4088
810	17449	4066
811	17470	4044
812	17492	4023
813	17513	4001
814	17533	3979
815	17552	3957
816	17573	3936
817	17593	3914
818	17613	3892
819	17632	3870
820	17655	3849
821	17677	3828
822	17698	3806
823	17716	3784
824	17740	3763
825	17762	3741
826	17784	3720
827	17806	3698
828	17825	3676
829	17845	3655
830	17865	3633
831	17884	3611
832	17904	3589
833	17925	3567
834	17948	3546
835	17969	3525
836	17989	3503
837	18009	3481
838	18029	3459
839	18051	3438
840	18070	3416
841	18094	3395
842	18115	3373
843	18135	3352
844	18156	3330
845	18175	3308
846	18197	3287
847	18217	3265
848	18240	3244
849	18261	3222
850	18283	3201
851	18303	3179
852	18324	3157
853	18345	3136
854	18369	3115
855	18392	3093
856	18415	3072
857	18434	3050
858	18455	3029
859	18474	3007
860	18496	2986
861	18516	2964
862	18540	2943
863	18562	2921
864	18582	2900
865	18601	2878
866	18622	2856
867	18643	2835
868	18663	2813
869	18687	2792
870	18707	2770
871	18727	2748
872	18748	2727
873	18767	2705
874	18788	2684
875	18808	2662
876	18831	2641
877	18853	2619
878	18874	2598
879	18895	2576
880	18915	2555
881	18935	2533
882	18955	2511
883	18979	2490
884	19000	2468
885	19019	2447
886	19040	2425
887	19061	2404
888	19081	2382
889	19102	2360
890	19122	2339
891	19148	2318
892	19168	2296
893	19190	2275
894	19211	2253
895	19230	2232
896	19251	2210
897	19275	2189
898	19296	2167
899	19317	2146
900	19338	2124
901	19359	2103
902	19380	2081
903	19400	2060
904	19424	2039
905	19445	2017
906	19467	1996
907	19490	1974
908	19511	1953
909	19530	1931
910	19551	1910
911	19575	1888
912	19596	1867
913	19618	1845
914	19639	1824
915	19660	1802
916	19682	1781
917	19704	1760
918	19728	1738
919	19749	1717
920	19770	1695
921	19793	1674
922	19813	1652
923	19834	1631
924	19855	1609
925	19878	1588
926	19899	1567
927	19920	1545
928	19940	1524
929	19961	1502
930	19982	1480
931	20002	1459
932	20024	1438
933	20047	1416
934	20068	1395
935	20090	1373
936	20111	1352
937	20133	1330
938	20153	1309
939	20176	1287
940	20197	1266
941	20217	1244
942	20238	1223
943	20259	1201
944	20281	1180
945	20302	1158
946	20326	1137
947	20349	1116
948	20369	1094
949	20389	1073
950	20409	1051
951	20430	1030
952	20450	1008
953	20474	987
954	20496	965
955	20517	944
956	20537	922
957	20559	901
958	20579	879
959	20601	858
960	20624	836
961	20645	815
962	20665	794
963	20685	772
964	20706	751
965	20727	729
966	20748	708
967	20773	686
968	20793	665
969	20813	643
970	20834	622
971	20854	600
972	20875	579
973	20897	557
974	20919	536
975	20941	514
976	20963	493
977	20984	472
978	21001	450
979	21021	429
980	21043	407
981	21067	386
982	21087	364
983	21107	343
984	21128	321
985	21149	300
986	21171	278
987	21192	257
988	21215	235
989	21236	214
990	21257	193
991	21277	171
992	21298	150
993	21320	128
994	21341	107
995	21365	85
996	21386	64
997	21406	42
998	21428	21
999	21449	0
