iter	Logloss
0	0.6891631363
1	0.6854740086
2	0.6818811058
3	0.6791649276
4	0.6769901119
5	0.6745786337
6	0.6727813097
7	0.6708496023
8	0.669064529
9	0.6674854025
10	0.6656755608
11	0.6641597887
12	0.6629149027
13	0.6619091363
14	0.6609308983
15	0.6599454667
16	0.6592254011
17	0.6585001895
18	0.6576789133
19	0.6566606648
20	0.6561549682
21	0.6555843858
22	0.6548884476
23	0.6542231717
24	0.6539039953
25	0.653334321
26	0.6527726951
27	0.6524412324
28	0.6519739616
29	0.651745401
30	0.6511630843
31	0.6509782914
32	0.6507116789
33	0.6502093655
34	0.6497545769
35	0.6494102225
36	0.6491964588
37	0.6487647115
38	0.6483974583
39	0.6480651408
40	0.6477509858
41	0.647497817
42	0.647046002
43	0.6467924237
44	0.6465386139
45	0.6462684045
46	0.645978911
47	0.6457564045
48	0.6455901301
49	0.6452222002
50	0.6450503346
51	0.6448591849
52	0.6447557129
53	0.6445186588
54	0.644283314
55	0.6440137635
56	0.6438548964
57	0.6437078883
58	0.6435005883
59	0.6432793105
60	0.6430810382
61	0.6429036349
62	0.6426104021
63	0.6424677921
64	0.6422844949
65	0.6420111517
66	0.6417218719
67	0.6414041021
68	0.6412400713
69	0.6410758623
70	0.6408404641
71	0.6405723025
72	0.6404606219
73	0.6403256686
74	0.6402114417
75	0.6400156267
76	0.6397070984
77	0.6393574199
78	0.6392016333
79	0.6390552484
80	0.6387790562
81	0.6385741244
82	0.6384861795
83	0.6383245703
84	0.638207441
85	0.6380079758
86	0.6378643686
87	0.6376451385
88	0.6374716347
89	0.6373539
90	0.6373227747
91	0.6371439647
92	0.6370015862
93	0.6367366297
94	0.636583051
95	0.6362950355
96	0.6361538856
97	0.635960154
98	0.6358070027
99	0.6356260915
100	0.6354529261
101	0.6352771787
102	0.63492109
103	0.6347587329
104	0.6346618314
105	0.6343995103
106	0.6342357821
107	0.6340424778
108	0.6337274146
109	0.6335622085
110	0.633384271
111	0.6332390435
112	0.6332210414
113	0.6331496385
114	0.6329561027
115	0.6327088812
116	0.6326182119
117	0.6324900072
118	0.6323501571
119	0.6322389573
120	0.6321786298
121	0.6319700478
122	0.6317991437
123	0.6316713663
124	0.6315090805
125	0.6312807335
126	0.6311268522
127	0.6310020306
128	0.6309062332
129	0.630780735
130	0.6307401724
131	0.6306232568
132	0.6306046315
133	0.6305117899
134	0.6303795609
135	0.6301979019
136	0.6300085505
137	0.6298957838
138	0.6298074115
139	0.6295964791
140	0.6295021417
141	0.6294208207
142	0.6291929902
143	0.6291373636
144	0.6289833754
145	0.6288520546
146	0.6288209471
147	0.6286699504
148	0.6285960368
149	0.6285373297
150	0.6283457526
151	0.6282715185
152	0.6281999731
153	0.6280900731
154	0.6278684391
155	0.6277934393
156	0.6277019866
157	0.6275974107
158	0.6274319375
159	0.6273154492
160	0.6272652357
161	0.6271843065
162	0.6271232845
163	0.62693607
164	0.626820294
165	0.6267318861
166	0.6266443863
167	0.6265032365
168	0.6263295012
169	0.626292393
170	0.6262361788
171	0.6259681062
172	0.6257249089
173	0.6256128544
174	0.6254838839
175	0.6252316411
176	0.6249877493
177	0.6248152961
178	0.6246181101
179	0.6245105783
180	0.6243949982
181	0.6242665619
182	0.6241074278
183	0.6238525674
184	0.6238058617
185	0.6237461574
186	0.6235284764
187	0.6233991142
188	0.6232240257
189	0.6230744535
190	0.6228828942
191	0.6227362422
192	0.6225463923
193	0.6223530702
194	0.6221957879
195	0.6220958416
196	0.6217944536
197	0.6217120464
198	0.6215583966
199	0.6213601065
200	0.6212530199
201	0.6210841636
202	0.6208747447
203	0.6207858382
204	0.6205897383
205	0.620452951
206	0.6202795362
207	0.6201399177
208	0.6199650784
209	0.6197045379
210	0.6194134775
211	0.619242057
212	0.6189751952
213	0.61881745
214	0.6185447477
215	0.618432622
216	0.618284955
217	0.6181935023
218	0.6178524954
219	0.6177318939
220	0.6175336573
221	0.6173723686
222	0.6171571983
223	0.6169733135
224	0.6168058816
225	0.6165705368
226	0.6163467483
227	0.6160756308
228	0.6158816677
229	0.6157377223
230	0.6156276798
231	0.6154184746
232	0.6152867264
233	0.6150825069
234	0.6148747439
235	0.6146811904
236	0.6144498164
237	0.6142172138
238	0.6140077592
239	0.6138502276
240	0.6135611615
241	0.6133921983
242	0.6131670209
243	0.6130466687
244	0.6129441049
245	0.6127734679
246	0.6126278843
247	0.6123628387
248	0.6122198014
249	0.6119993248
250	0.6117767649
251	0.611529116
252	0.6112961751
253	0.6111880023
254	0.6109806311
255	0.6106761092
256	0.6104854046
257	0.6102644651
258	0.609983661
259	0.6097198975
260	0.6095427257
261	0.6093789441
262	0.6091329156
263	0.6089368869
264	0.608729213
265	0.6085491387
266	0.6082706851
267	0.6080453653
268	0.6078531828
269	0.607609291
270	0.6074310686
271	0.6071742139
272	0.6068686592
273	0.606751797
274	0.6065641551
275	0.6063051993
276	0.6062355235
277	0.6060399935
278	0.6059399314
279	0.6057156977
280	0.6054468328
281	0.6052702574
282	0.6050637765
283	0.6049312003
284	0.6047352073
285	0.6044475568
286	0.604301439
287	0.6042602799
288	0.6040434358
289	0.6038712408
290	0.603621838
291	0.6034044508
292	0.6033000796
293	0.6031610665
294	0.6029375005
295	0.6027678963
296	0.6025650212
297	0.6022801929
298	0.6020403521
299	0.6018789654
300	0.6016862399
301	0.6015271057
302	0.6013140098
303	0.6010850574
304	0.6008230123
305	0.6006334562
306	0.6004914338
307	0.6002609323
308	0.6001269583
309	0.5999796475
310	0.5998462878
311	0.5996626879
312	0.5995164811
313	0.5993116116
314	0.5990411174
315	0.5988193944
316	0.5985783249
317	0.5983853946
318	0.5981361164
319	0.5978129247
320	0.5976008615
321	0.5974029187
322	0.5972236368
323	0.5970183133
324	0.5968459492
325	0.59671015
326	0.5964030462
327	0.596298684
328	0.5961514177
329	0.5958549798
330	0.5956777545
331	0.5954269094
332	0.5952757524
333	0.595094868
334	0.5948555791
335	0.5948047869
336	0.5946314612
337	0.5944650621
338	0.5942920836
339	0.5941305634
340	0.5939920221
341	0.5937930376
342	0.5936249915
343	0.5934639876
344	0.5932578718
345	0.5930615849
346	0.5929302374
347	0.592726739
348	0.5925826778
349	0.5924551497
350	0.5922333822
351	0.5920289668
352	0.5918832051
353	0.5918118022
354	0.5916659515
355	0.5914867052
356	0.5913252384
357	0.5911535152
358	0.5910057681
359	0.5908168086
360	0.5906509259
361	0.5905219643
362	0.5903774491
363	0.5902412493
364	0.5900861394
365	0.5899659919
366	0.5897888022
367	0.5896153697
368	0.5894112837
369	0.5893025768
370	0.5891368276
371	0.5890806846
372	0.5889695382
373	0.5888127455
374	0.5886931145
375	0.5884905599
376	0.5883019208
377	0.5881476655
378	0.5879865994
379	0.5878265749
380	0.5877280887
381	0.5874612893
382	0.5873146106
383	0.5871728108
384	0.5870598748
385	0.5869263816
386	0.5867570267
387	0.5864692159
388	0.5863757155
389	0.5862328562
390	0.5860938697
391	0.5859193243
392	0.5858547946
393	0.5857218445
394	0.5855128885
395	0.5853892688
396	0.5852376578
397	0.5850289155
398	0.5848993664
399	0.5847568454
400	0.5845737441
401	0.5844344995
402	0.5843209136
403	0.5841844646
404	0.5839429945
405	0.5837650747
406	0.5836105791
407	0.5834424439
408	0.5833351347
409	0.5831919549
410	0.5830467541
411	0.5829098243
412	0.5826163423
413	0.5823683106
414	0.5822461866
415	0.5821076721
416	0.5819687569
417	0.581792965
418	0.5815290501
419	0.581440295
420	0.5812154737
421	0.5811320872
422	0.5809039006
423	0.5806879022
424	0.5804849203
425	0.5803031722
426	0.5801389455
427	0.5799565831
428	0.5798214428
429	0.5796595754
430	0.5794941022
431	0.5793066295
432	0.579110129
433	0.5790059715
434	0.578872505
435	0.578726218
436	0.5785531683
437	0.5784391373
438	0.578341212
439	0.5781979343
440	0.5780328083
441	0.5778942403
442	0.5777531884
443	0.577636798
444	0.5775037411
445	0.5773627337
446	0.5772807004
447	0.5770427292
448	0.5769618712
449	0.5767816812
450	0.5766914037
451	0.576532127
452	0.5763626297
453	0.576235698
454	0.576154012
455	0.576027855
456	0.5759387082
457	0.5757933382
458	0.5756461431
459	0.5754665229
460	0.5753138791
461	0.5751442927
462	0.5749534991
463	0.5748069895
464	0.5746588329
465	0.5745362727
466	0.5742862289
467	0.5741130723
468	0.5740117639
469	0.5738978931
470	0.5737677386
471	0.5735888217
472	0.5735280135
473	0.573385172
474	0.5732687371
475	0.5731008156
476	0.5729448242
477	0.5727693618
478	0.5724854862
479	0.5723470695
480	0.5721730048
481	0.5721164701
482	0.5719737711
483	0.5717777068
484	0.5716216086
485	0.5715208878
486	0.571444508
487	0.5713468409
488	0.5712726691
489	0.5711245125
490	0.5709777358
491	0.5709030298
492	0.5707245937
493	0.5706239886
494	0.57060052
495	0.5704645428
496	0.5703642849
497	0.5701738207
498	0.5700195031
499	0.5698523473
500	0.5697589715
501	0.5695897412
502	0.5694149198
503	0.5693582337
504	0.569111671
505	0.5689789256
506	0.5688939366
507	0.5686761665
508	0.5684700863
509	0.5683683593
510	0.5682616467
511	0.5681240937
512	0.5679538484
513	0.5678317245
514	0.5676916697
515	0.5675624411
516	0.5673656557
517	0.5672563878
518	0.5671589522
519	0.5670930425
520	0.5669311305
521	0.5667753885
522	0.566662408
523	0.5664974601
524	0.5663584559
525	0.5662223363
526	0.566065597
527	0.5659309642
528	0.5658537387
529	0.5657404377
530	0.5656048167
531	0.5654904651
532	0.5653597853
533	0.5652152878
534	0.5651768531
535	0.564874735
536	0.5647156454
537	0.5644666611
